Project,BugID,Filename,Path,Method name,Path,Exception,Label,,Unique Exception,,Filename,,,Method name
Birt,116355,OdaQuery.java,org.eclipse.datatools.connectivity.oda.consumer.helper.OdaQuery,prepare,org.eclipse.datatools.connectivity.oda.consumer.helper.OdaQuery,SQL Exception,,,,,RenderTask.java,,,__init
Birt,116355,Util.java,org.apache.derby.impl.jdbc.Util,generateCsSQLException,org.apache.derby.impl.jdbc.Util,SQL Exception,,,,,RenderTask.java,,,init
Birt,116355,TransactionResourceImpl.java,org.apache.derby.impl.jdbc.TransactionResourceImpl,wrapInSQLException,org.apache.derby.impl.jdbc.TransactionResourceImpl,SQL Exception,,,,,Ljava.io.OutputStream;Ljavax.servlet.http.HttpServletRequest;Lorg.eclipse.birt.report.engine.api.IReportDocument;JZZLjava.util.List;Ljava.util.Locale;Z)V(Unknown Source,,,__getContext
Birt,116355,TransactionResourceImpl.java,org.apache.derby.impl.jdbc.TransactionResourceImpl,handleException,org.apache.derby.impl.jdbc.TransactionResourceImpl,SQL Exception,,,,,Ljavax.servlet.http.HttpServletRequest;Lorg.eclipse.birt.report.engine.api.IReportDocument;JZZLjava.util.List;Ljava.util.Locale;Z)Ljava.io.ByteArrayOutputStream;(Unknown Source,,,findResourceWithFallback
Birt,116355,EmbedConnection.java,org.apache.derby.impl.jdbc.EmbedConnection,handleException,org.apache.derby.impl.jdbc.EmbedConnection,SQL Exception,,,,,Ljava.lang.String;Ljava.lang.String;Lorg.eclipse.birt.report.service.api.InputOptions;Ljava.util.List;)Ljava.io.ByteArrayOutputStream;(Unknown Source,,,getWithFallback
Birt,116355,ConnectionChild.java,org.apache.derby.impl.jdbc.ConnectionChild,handleException,org.apache.derby.impl.jdbc.ConnectionChild,SQL Exception,,,,,)V(Unknown Source,,,get
Birt,116355,EmbedPreparedStatement.java,org.apache.derby.impl.jdbc.EmbedPreparedStatement,<init>,org.apache.derby.impl.jdbc.EmbedPreparedStatement,SQL Exception,,,,,)V(Unknown Source,,,setWeekData
Birt,116355,EmbedPreparedStatement20.java,org.apache.derby.impl.jdbc.EmbedPreparedStatement20,<init>,org.apache.derby.impl.jdbc.EmbedPreparedStatement20,SQL Exception,,,,,Lorg.eclipse.birt.report.service.actionhandler.IActionHandler;Lorg.eclipse.birt.report.context.IContext;Lorg.eclipse.birt.report.soapengine.api.Operation;Lorg.eclipse.birt.report.soapengine.api.GetUpdatedObjectsResponse;)V(Unknown Source,,,setContext
Birt,116355,EmbedPreparedStatement30.java,org.apache.derby.impl.jdbc.EmbedPreparedStatement30,<init>,org.apache.derby.impl.jdbc.EmbedPreparedStatement30,SQL Exception,,,,,Lorg.eclipse.birt.report.service.actionhandler.IActionHandler;Lorg.eclipse.birt.report.context.IContext;Lorg.eclipse.birt.report.soapengine.api.Operation;Lorg.eclipse.birt.report.soapengine.api.GetUpdatedObjectsResponse;)V(Unknown Source,,,_jspService
Birt,116355,Driver30.java,org.apache.derby.jdbc.Driver30,newEmbedPreparedStatement,org.apache.derby.jdbc.Driver30,SQL Exception,,,,,Lorg.eclipse.birt.report.context.IContext;Lorg.eclipse.birt.report.soapengine.api.Operation;Lorg.eclipse.birt.report.soapengine.api.GetUpdatedObjectsResponse;)V(Unknown Source,,,service
Birt,116355,EmbedConnection.java,org.apache.derby.impl.jdbc.EmbedConnection,prepareStatement,org.apache.derby.impl.jdbc.EmbedConnection,SQL Exception,,,,,Ljava.lang.Object;[Ljava.lang.Object;)Ljava.lang.Object;(Unknown Source,,,invokeServlet
Birt,136818,Unknown Source,org.eclipse.birt.report.service.ReportEngineService,setEngineContext,org.eclipse.birt.report.service.ReportEngineService,NullPointerException,,,,,Ljava.lang.Object;[Ljava.lang.Object;I)Ljava.lang.Object;(Unknown Source,,,include
Birt,136818,Unknown Source,org.eclipse.birt.report.servlet.ViewerServlet,doGet,org.eclipse.birt.report.servlet.ViewerServlet,NullPointerException,,,,,ExprResultSet.java,,,__handleNonSoapException
Birt,136818,HttpServlet.java,javax.servlet.http.HttpServlet,service,javax.servlet.http.HttpServlet,NullPointerException,,,,,ResultIterator.java,,,externalizedMessage
